NRP;SEMESTER;TAHUN;KODE MATA KULIAH;NILAI NISBI
6004846;Gasal;2000;000101;B
6004846;Gasal;2002;000115;AB
6004846;Gasal;2002;000141;BC
6004846;Genap;2000;600001;D
6004846;Genap;2003;600002;D
6004846;Gasal;2001;601010;D
6004846;Genap;2004;601105;C
6004846;Genap;2002;601202;D
6004846;Gasal;2000;602006;C
6004846;Genap;2000;602007;D
6004846;Gasal;2000;604002;B
6004846;Gasal;2000;641211;C
6004846;Gasal;2000;641222;C
6004846;Gasal;2004;641421;BC
6004846;Genap;2000;642321;D
6004846;Genap;2000;642322;BC
6004846;Genap;2000;642323;BC
6004846;Genap;2001;643224;C
6004846;Genap;2004;643321;BC
6004846;Gasal;2001;643322;C
6004846;Genap;2003;643323;C
6004846;Gasal;2001;643331;C
6004846;Gasal;2001;643332;B
6004846;Genap;2004;644331;C
6004846;Gasal;2004;644332;C
6004846;Gasal;2004;644333;C
6004846;Genap;2003;644334;C
6004846;Genap;2002;645137;BC
6004846;Genap;2002;645331;BC
6004846;Gasal;2003;645332;D
6004846;Gasal;2004;645333;C
6004846;Gasal;2002;645334;C
6004846;Genap;2001;645336;C
6004846;Genap;2003;646133;C
6004846;Genap;2004;646332;C
6004846;Gasal;2003;646334;C
6004846;Genap;2003;647211;AB
6004846;Gasal;2003;647331;C
6004846;Genap;2004;647332;BC
6004846;Gasal;2002;647333;C
6004846;Gasal;2004;649311;BC
6004846;Genap;2001;649315;BC
6004846;Genap;2004;649316;BC
6004846;Gasal;2003;649332;C
6004846;Genap;2003;649343;BC
6004846;Gasal;2004;649344;B
6004846;Genap;2004;649345;B
6004846;Genap;2005;64A211;BC
6004846;Genap;2009;64A613;AB
6004846;Genap;2005;64A615;C
6004846;Genap;2009;64A811;BC
6013146;Genap;2001;000101;B
6013146;Gasal;2002;000114;B
6013146;Gasal;2010;00141A;B
6013146;Genap;2001;600001;BC
6013146;Genap;2004;600002;BC
6013146;Genap;2003;601009;C
6013146;Gasal;2002;601011;BC
6013146;Gasal;2005;601104;B
6013146;Gasal;2001;602001;C
6013146;Gasal;2001;603001;C
6013146;Genap;2002;604001;C
6013146;Gasal;2001;604002;BC
6013146;Genap;2001;609002;BC
6013146;Genap;2005;60A302;D
6013146;Genap;2003;627065;C
6013146;Gasal;2003;634152;B
6013146;Genap;2002;634164;BC
6013146;Genap;2004;634185;B
6013146;Gasal;2001;634212;BC
6013146;Genap;2001;634222;BC
6013146;Genap;2001;634224;BC
6013146;Gasal;2002;634233;D
6013146;Genap;2002;634242;C
6013146;Gasal;2003;634251;C
6013146;Gasal;2002;634254;BC
6013146;Genap;2003;634257;C
6013146;Gasal;2003;634261;BC
6013146;Genap;2003;634262;B
6013146;Genap;2003;634265;AB
6013146;Gasal;2004;634273;BC
6013146;Gasal;2004;634275;BC
6013146;Gasal;2004;634282;C
6013146;Gasal;2004;634284;B
6013146;Gasal;2001;634311;BC
6013146;Genap;2001;634321;D
6013146;Genap;2001;634323;BC
6013146;Gasal;2002;634331;BC
6013146;Gasal;2002;634334;C
6013146;Genap;2002;634341;D
6013146;Genap;2002;634343;B
6013146;Genap;2002;634344;BC
6013146;Genap;2002;634353;C
6013146;Genap;2003;634355;BC
6013146;Gasal;2003;634358;C
6013146;Genap;2003;634363;C
6013146;Gasal;2004;634367;BC
6013146;Genap;2003;634372;C
6013146;Gasal;2004;634374;C
6013146;Genap;2004;635242;D
6013146;Genap;2004;635251;B
6013146;Genap;2005;63A231;D
6013146;Genap;2005;63A434;C
6013146;Genap;2005;63A532;C
6013146;Genap;2005;63A533;D
6013146;Gasal;2005;63A537;D
6013146;Gasal;2005;63A623;B
6013146;Genap;2005;63A624;BC
6013146;Gasal;2006;63A636;E
6013146;Gasal;2005;63A720;D
6013146;Gasal;2005;63A723;B
6013146;Genap;2005;63A725;C
6013146;Genap;2006;63A810;A
6013146;Genap;2009;63A851;B
6013146;Gasal;2005;63A942;B
6013146;Genap;2004;640322;BC
6013146;Genap;2004;653331;C
6014066;Gasal;2001;000101;A
6014066;Genap;2001;000113;B
6014066;Gasal;2004;000141;BC
6014066;Gasal;2001;600001;B
6014066;Genap;2001;600002;BC
6014066;Gasal;2002;601010;AB
6014066;Genap;2003;601105;A
6014066;Genap;2002;601202;BC
6014066;Gasal;2001;602006;C
6014066;Genap;2001;602007;B
6014066;Gasal;2001;604002;BC
6014066;Gasal;2001;641211;AB
6014066;Gasal;2001;641222;AB
6014066;Genap;2002;641421;C
6014066;Genap;2001;642321;BC
6014066;Genap;2001;642322;A
6014066;Genap;2001;642323;A
6014066;Gasal;2002;642324;B
6014066;Genap;2002;643224;AB
6014066;Gasal;2002;643321;BC
6014066;Genap;2002;643322;C
6014066;Genap;2003;643323;A
6014066;Gasal;2002;643331;BC
6014066;Genap;2001;643332;A
6014066;Genap;2002;644331;B
6014066;Gasal;2003;644332;C
6014066;Gasal;2003;644333;AB
6014066;Genap;2002;644334;BC
6014066;Gasal;2002;645137;BC
6014066;Gasal;2003;645331;B
6014066;Gasal;2003;645332;C
6014066;Genap;2004;645333;C
6014066;Gasal;2003;645334;AB
6014066;Gasal;2003;645335;BC
6014066;Genap;2004;645336;AB
6014066;Genap;2003;646133;C
6014066;Gasal;2003;646332;B
6014066;Genap;2003;646334;C
6014066;Gasal;2004;647211;C
6014066;Genap;2003;647331;B
6014066;Gasal;2004;647332;B
6014066;Genap;2003;647333;BC
6014066;Gasal;2004;649311;BC
6014066;Genap;2003;649315;A
6014066;Genap;2004;649316;A
6014066;Genap;2004;649322;A
6014066;Genap;2004;649332;C
6014066;Gasal;2004;649343;B
6014066;Genap;2004;649344;A
6014066;Gasal;2004;649345;C
6014066;Genap;2005;64A613;AB
6014169;Gasal;2001;000101;C
6014169;Genap;2001;000115;A
6014169;Gasal;2003;000141;C
6014169;;;600001;B
6014169;Genap;2003;600002;BC
6014169;Gasal;2002;601010;BC
6014169;Genap;2004;601105;A
6014169;Genap;2002;601202;BC
6014169;Genap;2001;602006;D
6014169;Genap;2002;602007;BC
6014169;Gasal;2001;604002;A
6014169;Genap;2005;60A301;E
6014169;Genap;2006;60A701;BC
6014169;Gasal;2001;641211;D
6014169;Gasal;2002;641222;C
6014169;Genap;2002;641421;C
6014169;Genap;2002;642321;BC
6014169;Genap;2001;642322;B
6014169;Genap;2001;642323;D
6014169;Gasal;2003;642324;C
6014169;Genap;2003;643224;D
6014169;Genap;2004;643321;BC
6014169;Gasal;2004;643322;BC
6014169;Genap;2004;643323;B
6014169;Gasal;2002;643331;D
6014169;Gasal;2002;643332;A
6014169;Genap;2002;644331;D
6014169;Genap;2003;644332;C
6014169;Gasal;2003;644333;AB
6014169;Genap;2003;644334;BC
6014169;Gasal;2004;645137;AB
6014169;Gasal;2003;645331;B
6014169;Genap;2003;645334;C
6014169;Genap;2003;645335;BC
6014169;Gasal;2003;645336;B
6014169;Genap;2004;646133;E
6014169;Genap;2004;646334;D
6014169;Gasal;2004;647331;AB
6014169;Genap;2003;647332;D
6014169;Genap;2004;649311;C
6014169;Genap;2002;649315;AB
6014169;Genap;2004;649322;A
6014169;Gasal;2004;649343;BC
6014169;Gasal;2005;64A511;C
6014169;Gasal;2005;64A512;D
6014169;Genap;2005;64A612;C
6014169;Gasal;2006;64A613;A
6014169;Gasal;2005;64A701;C
6014169;Gasal;2005;64A711;C
6014169;Genap;2006;64A904;AB
6014169;Gasal;2005;64A922;C
6014169;Gasal;2005;64A978;B
6023802;Genap;2002;000101;BC
6023802;Gasal;2003;000113;BC
6023802;Gasal;2005;000141;A
6023802;Gasal;2002;600001;BC
6023802;Genap;2004;601009;B
6023802;Gasal;2003;601011;AB
6023802;Gasal;2005;601104;BC
6023802;Gasal;2002;602001;C
6023802;Genap;2002;602002;D
6023802;Gasal;2002;604002;C
6023802;Genap;2002;609002;BC
6023802;Gasal;2006;60A102;BC
6023802;Gasal;2005;60A501;BC
6023802;Genap;2005;60A701;B
6023802;Genap;2004;634152;B
6023802;Genap;2003;634164;BC
6023802;Gasal;2002;634212;B
6023802;Genap;2002;634222;BC
6023802;Genap;2002;634224;BC
6023802;Gasal;2003;634233;C
6023802;Genap;2003;634242;BC
6023802;Genap;2004;634251;B
6023802;Genap;2003;634254;BC
6023802;Gasal;2004;634257;C
6023802;Genap;2004;634261;BC
6023802;Genap;2004;634262;BC
6023802;Genap;2004;634273;BC
6023802;Genap;2004;634282;C
6023802;Gasal;2002;634311;BC
6023802;Gasal;2003;634321;BC
6023802;Genap;2002;634323;BC
6023802;Gasal;2003;634331;B
6023802;Gasal;2003;634332;BC
